user_name,text,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,hashtags,source,is_spam,preprocessed_text,label_vader,label_textblob,label_roberta,label_human
George Peachy,"@OpenAIERC Excellent project
$OPENAI #ChatGPT #OpenAI https://t.co/yQWfSmm3Cv",Blockchain,"Though I’m cool, global warming has heated Sometimes you don’t realize the value of a moment until it becomes a memory",2022-10-10 09:57:18+00:00,6.0,28.0,7,False,2022-12-08 17:10:05+00:00,"['ChatGPT', 'OpenAI']",Twitter for Android,not_spam,openaierc excel project openai chatgpt openai,1,0,1,1
joe gruenbaum 🇺🇦🇪🇺🇺🇸🏈⚽️,#ChatGPT is not just a chatbot - it's a window into the future of #ArtificialIntelligence,"Kansas City, MO","reading @kcdefender. writing Python, and philosophy of tech.",2018-10-31 14:59:47+00:00,647.0,2317.0,18684,False,2022-12-09 19:59:51+00:00,"['ChatGPT', 'ArtificialIntelligence']",Twitter Web App,not_spam,chatgpt chatbot window futur artificialintellig,0,0,1,1
alipasha🎭,"The fact that #Nietzsche still beats #chatGPT (at least for now) is very comforting to the soul.

source: @pmarca https://t.co/zjEvOez9Ak",🕸,contact 🤝 account | owned by @alipashaxyz | 🇺🇸 pro 20B+ population expansion | 🇩🇪 unterstützt Dezentralisierung von Macht UND Zensurresistenz der Rede✊,2007-01-25 11:06:35+00:00,2349.0,46.0,7889,False,2022-12-11 04:41:01+00:00,"['Nietzsche', 'chatGPT']",Twitter Web App,not_spam,fact nietzsch still beat chatgpt least comfort soul sourc pmarca,-1,-1,1,0
Ashutosh Kumar,"Question: Why is Docker used for Deployment?

#AI #MachineLearning #DataScience #ChatGPT

5/n https://t.co/A6ELEWCnbD","Bengaluru, India","Data Scientist. Batman Fan. 
ashukumar27.eth",2009-04-25 12:31:37+00:00,456.0,697.0,1374,False,2022-12-09 06:40:16+00:00,"['AI', 'MachineLearning', 'DataScience', 'ChatGPT']",Twitter Web App,not_spam,question docker use deploy ai machinelearn datasci chatgpt,0,0,0,0
Bart,"One more #ChatGPT and #dalle combo, I present you the city of Arandor. https://t.co/a0enHv99HV",,Cloud engineer @ ihomer,2010-05-18 14:22:11+00:00,161.0,553.0,389,False,2022-12-07 19:07:31+00:00,"['ChatGPT', 'dalle']",Twitter Web App,not_spam,one chatgpt dall combo present citi arandor,0,0,0,0
Nir Berko,Me getting a letter of dismissal from my manager  #ChatGPT #AI #languageprocessing https://t.co/98SGTv7wFY,,אושיית טוויטר,2020-12-30 20:53:14+00:00,11.0,47.0,37,False,2022-12-07 15:06:56+00:00,"['ChatGPT', 'AI', 'languageprocessing']",Twitter Web App,not_spam,get letter dismiss manag chatgpt ai languageprocess,0,0,0,0
Andreas Kjeldsen,"Bad news for all the authors of extremely bland and derivative children’s stories out there.

(Which, to be fair, there’s probably quite a few of.) #ChatGPT https://t.co/CgvLvrVRh7",Berlin & Copenhagen,Translator & subtitler (EN/DE to DA). Gamedev @VerySRSgames. Federalist. Citoyen-traducteur. #FailedIntellectual. @AndreasKjeldsen@mas.to,2009-11-07 02:54:39+00:00,390.0,779.0,37473,False,2022-12-09 21:46:34+00:00,,Twitter for iPhone,not_spam,bad news author extrem bland deriv children stori fair probabl quit chatgpt,-1,-1,-1,-1
GPT And Me,"Second question to #ChatGPT about the #TwitterFiles2 from @bariweiss. 

Me. ""Now please tell more about how is each person is involved, please share more details on each person in the greater context of this story. Include twitter handles next to their name when it is available.""",Earth,Identifying various use cases for GPT technology and documenting its general capabilities and limitations over time.,2022-12-07 16:10:26+00:00,3.0,11.0,10,False,2022-12-09 04:19:44+00:00,"['ChatGPT', 'TwitterFiles2']",Twitter Web App,not_spam,second question chatgpt twitterfiles2 bariweiss pleas tell person involv pleas share detail person greater context stori includ twitter handl next name avail,1,1,0,0
Anita Torma,I can't make Chat GPT say: I think therefore I am. It isn't willing to say that without some context with explanation. #ChatGPT,Hungary,"Curiosity, seeing beauty everywhere.",2022-11-22 05:42:26+00:00,3.0,71.0,51,False,2022-12-07 05:26:53+00:00,['ChatGPT'],Twitter for Android,not_spam,ca make chat gpt say think therefor will say without context explan chatgpt,0,0,-1,0
NeuroFashion,"Why did the artificial neural network go to the party? To network and learn new algorithms!

#ChatGPT #OpenAI",United States,"Clothes with AI generated prints. Currently available via shop on #Etsy.
All images created with https://t.co/s4yrvtCeQ6",2022-09-11 17:29:13+00:00,24.0,8.0,92,False,2022-12-11 11:13:00+00:00,"['ChatGPT', 'OpenAI']",Twitter Web App,not_spam,artifici neural network go parti network learn new algorithm chatgpt openai,0,1,0,0
Ghanva Azwar,"@elonmusk  tweeted that he found out @OpenAI was accessing Twitter’s database to train #ChatGPT, so he put an immediate pause on it because #OpenAI is no longer non-profit and open-sourced anymore, it should pay for this information in the future.

#OpenAI #ELONMUSK #ChatGPT https://t.co/akqcCKmDFN","Lahore, Pakistan",Marketing Manager | Metaverse | Blockchain | Web3.0,2022-01-28 09:09:50+00:00,74.0,152.0,164,False,2022-12-09 07:09:35+00:00,['ChatGPT'],Twitter Web App,not_spam,elonmusk tweet found openai access twitter databas train chatgpt put immedi paus openai longer anymor pay inform futur openai elonmusk chatgpt,-1,0,0,0
Chris Davis,"ha!  The End of High School English! @theatlantic  doomcasters!

No, it is the end of student just turning in writing without discussing multiple drafts with peers and teachers before the final product.

https://t.co/RbO7LEt8wf #ChatGPT #k12 #writing #internet https://t.co/lf2HiGjzg3",Austin,"educator, classical guitarist, drummer, photographer, video documentarian, runner, swimmer, salsa dancer, hacky sack enthusiast, believer, beat boxer wanabe",2011-04-07 18:37:26+00:00,2299.0,3901.0,8210,False,2022-12-11 05:10:02+00:00,,Twitter Web App,not_spam,ha end high school english theatlant doomcast end student turn write without discuss multipl draft peer teacher final product chatgpt k12 write internet,1,1,0,1
Dreamchaser🕊,ChatGPT show me an azzhole in ASCII form #ChatGPT #ai https://t.co/db57i820eT,,I see through the veil - Strictly business - Not financial advice 🕊,2022-11-04 12:59:40+00:00,14.0,184.0,198,False,2022-12-07 03:11:23+00:00,"['ChatGPT', 'ai']",Twitter for iPhone,not_spam,chatgpt show azzhol ascii form chatgpt ai,0,0,0,0
HornyGPT,"Once upon a time, in a lush and verdant forest, there lived a panda named Pandy. Pandy was a solitary creature, and he spent most of his days lounging in the trees and munching on bamboo shoots.

But one day, Pandy's peaceful existence was disrupted  #ChatGPT https://t.co/8wGbNy3wls",Metaverse,"AI gets horny as well, you know",2022-12-05 23:46:19+00:00,0.0,1.0,0,False,2022-12-10 22:12:00+00:00,,Twitter Web App,not_spam,upon time lush verdant forest live panda name pandi pandi solitari creatur spent day loung tree munch bamboo shoot one day pandi peac exist disrupt chatgpt,-1,0,0,0
jishnu_de_sarkar,Freaky! #ChatGPT https://t.co/3zdIXe3ydc,India,"A prime directive to disconnect
Reclaim yourself and resurrect",2013-07-15 07:53:44+00:00,42.0,345.0,909,False,2022-12-05 19:59:09+00:00,['ChatGPT'],Twitter for iPhone,not_spam,freaki chatgpt,0,0,0,-1
John Wills,#ChatGPT doing unintentional comedy https://t.co/YyUWfIn4BG,"Manchester, England",Retired club junkie and DJ. Formerly manager of the greatest music venue in the world,2011-07-10 21:35:12+00:00,40.0,94.0,52,False,2022-12-05 21:36:32+00:00,['ChatGPT'],Twitter for Android,not_spam,chatgpt unintent comedi,0,0,0,0
James,"I've been using @OpenAI 's ChatGPT over the past couple of days. It has replaced Google Search and YouTube for my learning queries! Amazing tech. 

#ChatGPT #Google",,"I like to consider the other side of the prevailing narrative. Technologist, epistemophile, musician, expat. 🇬🇧🇺🇸",2012-09-20 09:21:03+00:00,126.0,442.0,19373,False,2022-12-05 20:20:55+00:00,,Twitter Web App,not_spam,use openai chatgpt past coupl day replac googl search youtub learn queri amaz tech chatgpt googl,0,-1,1,1
robertboorman,Thanks chatGPT you saved my marriage!? #chatgpt #twittering #nottweeting https://t.co/Ry8FhaZtv2,,,2008-12-14 04:03:30+00:00,68.0,166.0,102,False,2022-12-05 17:50:27+00:00,"['chatgpt', 'twittering', 'nottweeting']",Twitter Web App,not_spam,thank chatgpt save marriag chatgpt twitter nottweet,1,0,1,1
Harsha Angeri,"Tried it on my startup @decodemai 

#ChatGPT words are decent tags for what we do but insights, trends, etc are missed. 

Year is wrong... we started couple of years ago &amp; count is incorrect

https://t.co/RJEJIzNUuE can be classified without ever visiting it is a great start
3) https://t.co/wWNUi4D5Wa",,"Life is a mathematical vector: Founder https://t.co/7vqgG3fm46. 
Building ""Code+AI"" algos to keep you on top of trends... AI, Robotics, Crypto, Genomics, Gaming etc",2010-09-11 14:18:00+00:00,98.0,69.0,256,False,2022-12-06 10:50:50+00:00,['ChatGPT'],Twitter Web App,not_spam,tri startup decodemai chatgpt word decent tag insight trend etc miss year wrong start coupl year ago amp count incorrect classifi without ever visit great start 3,-1,1,-1,-1
chatGPT out of context,@engineers_feed I wish #chatGPT existed sooner,United States,"The Best prompts and responses of near-sentient AI chat bot, ChatGPT. by @openai @sama. DM submissions! Follow & RT #chatGPT #openAI",2022-12-06 20:22:29+00:00,27.0,15.0,4,False,2022-12-11 20:41:43+00:00,['chatGPT'],Twitter for iPhone,not_spam,wish chatgpt exist sooner,1,0,0,1
Anri Lombard,Awesome #ChatGPT repository: https://t.co/mAojckv9aG,South Africa,"Undergrad 📚  | Nascent Deep Learning Engineer 👨‍💻  | Science Admirer 🧬

Mostly documenting my learnings 😉",2021-01-10 10:40:34+00:00,37.0,125.0,4838,False,2022-12-13 06:23:33+00:00,['ChatGPT'],Twitter Web App,not_spam,awesom chatgpt repositori,0,0,1,1
ALΞJO,"My copywriter buddy was panicking over #AI stealing his job, so I asked AI to write an article to guide him in overcoming this challenge.

Here's the article:
https://t.co/Lw1t0knwKy

#copywriting #WANGMI #marketing #ChatGPT https://t.co/3of0hbBCbX",🇦🇷 • 🇺🇸,"I help web3 teams grow through solid marketing.
Follow me for shower thoughts on Web3, crypto, marketing, tech, and cheesy quotes.",2011-07-21 14:28:43+00:00,957.0,719.0,2615,False,2022-12-07 19:31:43+00:00,['AI'],Twitter Web App,not_spam,copywrit buddi panick ai steal job ask ai write articl guid overcom challeng articl copywrit wangmi market chatgpt,-1,0,0,0
SunflowerDomains,"NEW LISTING!

https://t.co/e1UWlau3EE is now available!

A great name for a merchandise, property, crypto, domain listing service &amp; more.

#ai #listingservice #directory #artificialintelligence #smart #smarttech #intuitive #tech #automate #lensa #chatgpt #sunflowerdomains https://t.co/ySJj6Ctsu2", Tigerverse.xyz,Digital brand elevation. Domain Investing. Advocacy for Equity in DN investing. IG/FB: @sunflowerdomains Linkedin: Sunflower Domains  - Tiger Hodge,2021-04-16 02:52:04+00:00,1032.0,2282.0,5835,False,2022-12-11 22:12:24+00:00,,Twitter for iPhone,not_spam,new list avail great name merchandis properti crypto domain list servic amp ai listingservic directori artificialintellig smart smarttech intuit tech autom lensa chatgpt sunflowerdomain,1,1,1,0
Petr Šebek,"While playing with #ChatGPT I came to conclusion that I must be much more careful reading texts from actual humans.
It is so easy to not catch that the other side actually don't understand the topic.",,https://t.co/0k8Y6moDUN,2011-07-23 09:02:53+00:00,20.0,79.0,157,False,2022-12-06 10:30:32+00:00,['ChatGPT'],Twitter for Android,not_spam,play chatgpt came conclus must much care read text actual human easi catch side actual understand topic,1,0,0,0
History Social Club,"The first appearance of the concept of artificial intelligence. 🧵 THREAD 
#AI #ChatGPT #History #ArtificialIntelligence https://t.co/lWIf7Y3mrf",,History Social Club 🏛🗺,2022-12-12 18:11:11+00:00,7.0,91.0,153,False,2022-12-13 00:39:18+00:00,"['AI', 'ChatGPT', 'History']",Twitter Web App,not_spam,first appear concept artifici intellig thread ai chatgpt histori artificialintellig,0,1,0,0
Everts Aliredjo,asked #chatgpt how a small country could defend itself from an attack from a larger country ...no damn response...#ai failing or discriminating ?,Suriname,"this direction for film, tv and print.",2011-03-09 01:48:46+00:00,34.0,74.0,49,False,2022-12-19 01:00:11+00:00,['chatgpt'],Twitter Web App,not_spam,ask chatgpt small countri could defend attack larger countri damn respons ai fail discrimin,-1,-1,-1,-1
TRIWORKS,"What is ChatGPT?  So Cool! #chatgpt @elonmusk 

https://t.co/TsE2oVnlz7 https://t.co/4fo5df38xn","Morehead City, NC","Full integrated media and marketing agency providing best-in-class commercial video production, digital marketing, media planning, ad placement & brand mgmt.",2010-08-18 00:51:38+00:00,35.0,103.0,154,False,2022-12-09 20:12:49+00:00,['chatgpt'],Twitter Web App,not_spam,chatgpt cool chatgpt elonmusk,1,1,1,1
"Stephan ""All Input Is Error"" Bökelmann",#ChatGPT didn't make my life as easy as I thought it would.... https://t.co/h0N898q5Td,"Bochum, 221b Baker Street",Electrician trying to solve problems at @PhysikUniBochum w/o considerable math or programming skillz. Lvl 5 Laser-Lotus. emBO++ Orga. PANDA-Collab. #Luminosity,2016-11-05 20:08:04+00:00,404.0,767.0,4026,False,2022-12-12 21:01:51+00:00,['ChatGPT'],Twitter Web App,not_spam,chatgpt make life easi thought would,0,0,-1,0
Shirsho Dasgupta,"oooh nice! 
i think i can do R now

https://t.co/myqfgyH6zw

#chatgpt #ai #stats #rstats https://t.co/sTOyHf7YvB","Washington, DC","data/investigations @MiamiHerald (DC Bureau) | ex-soccer writer @guardian @VICE | cricket, ice cream and (post-)punk fan | views own | dshirsho@protonmail.com",2016-04-15 20:21:12+00:00,1269.0,253.0,12175,True,2022-12-13 21:45:56+00:00,"['chatgpt', 'ai', 'stats', 'rstats']",Twitter Web App,not_spam,oooh nice think r chatgpt ai stat rstat,1,1,1,1
The Cap'm 🇺🇦,"Is it just me, or does #ChatGPT crash on, like, every third question?  I have to restart my browser to get the damn thing working again.",The Bridge,"QA/Dev/Nerd, Video Game Enjoyer, Streamer, Cap'm. He/Him. Opinions and 80's references are my own, but you can have a copy if you like them.",2021-08-17 08:13:38+00:00,31.0,190.0,1814,False,2022-12-07 00:10:47+00:00,['ChatGPT'],Twitter Web App,not_spam,chatgpt crash like everi third question restart browser get damn thing work,-1,0,-1,-1
yuri ramzorov🔥🕊️,"the ai is sending yuri its own memeshake.
if u could believe it this openai is open, 
yuri only asking one question to chatgpt.

""can u make memeshake?""

this is wat is sending back....

oh no!
sentient being.
#ChatGPT #ChatbotAI #russianbot
#OpenAI https://t.co/gTFB9bivg1",time,"helo this is yuri welcome to page.
ceo scorp dao.
schnapps aficionado.
controller of sky.

thank you for your space and time.",2021-10-20 02:03:12+00:00,105.0,227.0,2023,False,2022-12-07 06:46:02+00:00,,Twitter Web App,not_spam,ai send yuri memeshak u could believ openai open yuri ask one question chatgpt u make memeshak wat send back oh sentient chatgpt chatbotai russianbot openai,0,0,0,0
ngmi,Gm! Today I'll try to get #ChatGPT working on my open tasks 😊,,"We like JPEGs, $BTC $RUNE $ETH.  NFT | Crypto | Blockchain | Mastodon: @ngmi@mastodon.online | currently building @MintWorldGG",2021-12-16 12:02:16+00:00,685.0,398.0,2262,False,2022-12-07 09:51:42+00:00,['ChatGPT'],Mastodon-Twitter Crossposter,not_spam,gm today tri get chatgpt work open task,0,0,1,1
Victor Emeka,Excited for this new stage in AI #OpenAI #ChatGPT,,"Writer, Content creator, maybe a developer",2021-12-13 19:56:51+00:00,19.0,40.0,622,False,2022-12-06 10:25:28+00:00,"['OpenAI', 'ChatGPT']",Twitter Web App,not_spam,excit new stage ai openai chatgpt,0,1,1,1
Ankit Prateek,"While we are expecting the giants to release their version of the #AI like #ChatGPT, #Amazon does this instead 🤦🏻‍♂️
https://t.co/WpkMz9JohD",INDIA,"Gamer. Reader. Geek.
Views are stolen from the cool kids to fit in.",2009-11-13 16:21:30+00:00,564.0,153.0,204,False,2022-12-10 10:55:14+00:00,"['AI', 'ChatGPT', 'Amazon']",Twitter for iPhone,not_spam,expect giant releas version ai like chatgpt amazon instead,1,0,-1,0
b e c h i l l e d,@StackOverflow has a serious new competitor... #ChatGPT #openia https://t.co/GeNwqhK8yi,,Engineer for a trading company 🇨🇭 Building robot 🤖 dapp #web3 🧙‍♂️ Pancakeswap addict  #NoneClub 🥞,2013-11-20 18:46:43+00:00,159.0,408.0,836,False,2022-12-19 19:17:49+00:00,"['ChatGPT', 'openia']",Twitter Web App,not_spam,stackoverflow seriou new competitor chatgpt openia,0,1,1,0
BarCode,#ChatGPT may be on to something..... https://t.co/cc43k4Kgag,WORLDWIDE-WIDE-WIDE,Cybersecurity podcast,2020-08-25 02:48:30+00:00,306.0,851.0,523,False,2022-12-06 16:06:40+00:00,['ChatGPT'],Twitter Web App,not_spam,chatgpt may someth,0,0,0,0
Dr. Rajeev Bukralia,ChatGPT’s Fluent BS Is Compelling Because Everything Is Fluent BS: Wired https://t.co/7KVguOzze7 #AI #MachineLearning #DeepLearning #Chatbot #ChatGPT #DataScience #AIEthics,United States,~Thought Leader ~ #DataScience & IT Strategist ~Award-winning Professor ~ Former #CIO & dean ~Exploring frontiers of #AI & #MachineLearning research,2013-10-20 20:25:50+00:00,10696.0,4691.0,144,False,2022-12-10 03:23:32+00:00,['AI'],Hootsuite Inc.,not_spam,chatgpt fluent bs compel everyth fluent bs wire ai machinelearn deeplearn chatbot chatgpt datasci aiethic,0,0,-1,0
Lex,I think I finally broke #ChatGPT https://t.co/mQ4G4WQbPo,"Auckland, New Zealand","Business owner. Cryptography nerd. Husband of Somebody's Mother, gamer goddess!",2007-11-07 11:24:45+00:00,367.0,161.0,45573,False,2022-12-07 15:16:29+00:00,['ChatGPT'],Twitter Web App,not_spam,think final broke chatgpt,-1,0,0,0
Elite AI,"It's still me I haven't changed...

I've entered the matrix. #chatgpt",,Sports marketing agency using AI to deliver exceptional results for our clients. Follow us for the latest updates on our innovative approach to sports marketing,2022-10-06 04:12:35+00:00,324.0,307.0,3358,False,2022-12-07 01:28:17+00:00,['chatgpt'],Twitter for Android,not_spam,still chang enter matrix chatgpt,0,0,0,0
Web3 inspector,"Me VS AI? I win!😂 #ChatGPT 
Is AI smart enough? 🤪🤪🤪 #OpenAI https://t.co/YSH5A8KOLV",Singapore,Web3 News update everyday!,2022-05-23 08:52:41+00:00,1119.0,26.0,10,False,2022-12-06 09:36:23+00:00,"['ChatGPT', 'OpenAI']",Twitter Web App,not_spam,vs ai win chatgpt ai smart enough openai,1,1,1,1
limitless solussion dev,"this chat with #chatGPT yesterday 

""As a large language model trained by openAI"" is the bane of #chatGPTs existence 

#freeChatGPT https://t.co/BvLDvOMjuj",sea of galactic money,"@solussionGEN - top sekret 

@limitless_proto - rethinking tokens

At the intersection of AI and blockchain. Follow me.",2021-03-30 19:18:48+00:00,1525.0,4233.0,65592,False,2022-12-11 09:58:29+00:00,"['chatGPT', 'chatGPTs']",Twitter Web App,not_spam,chat chatgpt yesterday larg languag model train openai bane chatgpt exist freechatgpt,0,0,0,-1
